,,IVb - Environmental taxa vs Weed taxa
,According Ellenberg indicator values,
1,Pasture Weeds,ACHIMIL+AGRIEUP+AJUGGEN+ANTHTIN+ANTXODO+ARRHELA+BARBVUL+BISEPEL+BROMERE+BROMHOR+BROMOAR+BRORAAR+BROTEER+CARTLAN+CARUCAR+CENTJAC+CERAFON+CERAHOL+COROVAR+ERODCIT+HORDMAR+HYPEPER+HYPOCHO+KNAUARV+LEONAUT+LOLIPER+MEDILUP+MEDIMIN+MELIAFA+MELIALB+MELIALT+NARDSTR+ODONEUP+PASTSAT+PETRPRO+PLANLAN+PLANMED+POATRIV+POTEANS+POTEARG+POTEREP+PRULVUL+PTERAQU+RANREAC+RANUACR+RANUARB+RANUREP+RHINMIN+RUMCONF+RUMCROB+RUMEACE+RUMECRI+RUMEOBT+RUMETHY+RUMLOOB+SANGMIN+SIEGDEC+SILEVUL+TARAOFF+TRIFARV+TRIFCAM+TRIFDUB+TRIFPRA+TRIFREP+TRIHYRE+VENTMAC+VEROSER+VICICRA+VICILAY
2,Arable Weeds,ABUTTEO+ADONAES+ADONANN+ADONFLA+AEGISPL+AETHCYN+AGROGIT+AJUGCHA+AMARGRA+AMMIMAJ+ANAGARV+ANCHARV+ANTHARV+APHAARV+APHAMIC+ARENSER+ASPEARV+ATRIPAT+ATRPAHA+ATRPAPR+AVEFAST+AVENFAT+AVENSTE+BRASRAP+BROARHO+BROMARV+BROMHOR+BROMOAR+BROMSEC+BROMSTE+BROMTEC+BROSEAR+BROSEHO+BROSEMO+BROSTAR+BROSTTE+BUGLARV+BUPLROT+CALEIRR+CALYSEP+CAMESAT+CAMPRAP+CAMSAMI+CAPSBUP+CARDMAR+CENTCYA+CHENALB+CHENFIC+CHENPOL+CIRSARV+CONVARV+COROSCO+DASYVIL+DESCSOP+DIGIISC+DIGISSA+ECHICRG+ECHICRU+ELYTREP+ERYSCHE+EUPHEXI+EUPHHEL+EUPHPEP+FALLCON+FUMAOFF+FUMASCH+GALAPSP+GALAPTR+GALEBIF+GALELAD+GALESEG+GALETET+GALIAPA+GALISPU+GALITRI+GALLAAN+GALLASE+GALTEBI+GALTESP+HELIEUR+HORDLAG+HORDSPO+LACTSER+LALLIBE+LAMIAMP+LAPSCOM+LATHHIR+LATHNIS+LATHTUB+LITHARV+LOLIREM+LOLITEM+LOLRIPE+MATRCHA+MENTARV+MERCANN+MINUHYB+MONTFON+MYOSARV+NESLIPA+PAPAARG+PAPADUB+PAPARHO+PAPDURH+POLAVCO+POLCARV+POLLAMI+POLLAPE+POLYAVI+POLYCON+POLYLAP+POLYPER+PORTOLE+RANUARV+RAPHRAN+RAPIRUG+RESEPHY+SCANPEC+SCLEANN+SENEVUL+SETAECH+SETAGLA+SETAPUM+SETAVER+SETAVIR+SETVIVE+SHERARV+SILEALB+SILECRE+SILEGAL+SILENOC+SINAALB+SINAARV+SINADIS+SOLANIG+SONCARV+SONCASP+SONCOLE+SPERARV+STACANN+STACARV+STELMED+STENEME+THLAARV+THYMPAS+URTIURE+VACCPYR+VALEDEN+VALELOC+VALERIM+VERBHED+VEROARV+VEROHED+VEROPER+VICIHIR+VICITET+VICTEHI+VIOARTR+VIOLTRI
,,
