,IIA - Main groups of  domesticated plants,
,,
1,Cereals,AVENSAT+AVENNUD+SECACER+SECASPE+PANIMIL+PANISPE+SETAITA+HORDSRT+HORSHUL+HORSHUS+HORDDIN+HORSNAK+HORSNAS+HORDDIS+HORDHEX+HORSHUN+TRIACO+TRIAEST+TRITCOM+TRITDUR+TRITFTW+TRIFTWH+TRIAETU+TRIANPA+TRITDUT+TRITPAR+TRIFTWT+TRITSPH+TRITDIC+TRITDIO+TRITMON+TRITMOT+TRITMOO+TRITNGW+TRITTIM+TRITGLW+TRDINGW+TRIDISP+TRIDITI+TRIMODI+TRMODIS+TRMODIT+TRMONGW+TRIMOTI+TRITSPL+TRIAESP+TRITFGW+TRITSPE+TRDIDUA+TRITHOR+TRITSEC+AVENHOR+CERINDO
2,Pulses,CICEARI+LATHSAT+LEGUINL+LENSCUL+LENSSPE+LENSVIC+PISUSAA+PISUSAT+PISUSPE+VICIERV+VICIFAB+VICISAT+VICSYFA
3,Other domestic plant,CUCUMEL+PRUNDOM+PYRUCOM+MALUPUM+VITIVIN+CAMESAT+LINUSIC+LINUUSI+PAPASOM+OLEAEV+CANNSAT
