,IIIb - Wild/Cultivated categories,
,Overlap in morphological traits: Wild/cultivated (Identification is ambiguous regarding whether the remains represent gathered wild plants or those from managed cultivation).,
1,Legumes or Pulses,LATHAPH+VICIVIL+VICIVIV+MEDIFAL+LUPIALB+VICISAN+MEDISAT+LATHCIC
2,Fruits-berries or nuts,PRUNIDE+PYRUMAL+CASTSPE+MALOIDE+CRATMON+CRAMOLA+CRATLAE+MALUSPE+FICUCAR+VITISYL+VITISPE+JUGLREG
3,Root/green vegetables ,BETAVUL+BRASNIG+DAUCCAR+BRASRAP+BRASSIN+SINAALB+SINAARV+HUMULUP+ALLISPE
4,Fiber plants,LINUBIE
5,Oil plants,CAMSAMI+CAMESPE
