,,IVb - Environmental taxa vs Weed taxa
,According Ellenberg indicator values,
1,Environmental background (only herbs),ACTASPI+AJUGREP+ALIPLAQ+ALISSPE+ALLIURS+AMARIND+AMMOARE+APIUINU+APIUNOD+AQUIVUL+ARUNDIO+ARUNSPE+ASAREUR+ASTEIND+ASTETRI+ASTRGLY+BERUERE+BORAIND+BRACSYL+BRIZMED+CAKIMAR+CALASYL+CALTPAL+CAMPTRA+CARACEL+CAREACU+CAREAPP+CAREDIS+CAREHOS+CARELAS+CARENIG+CAREOBT+CAREPAN+CARERIP+CAREROS+CARESCI+CARESPE+CARESYL+CARYIND+CARYPOR+CERACER+CERTDEM+CERTSUB+CHENCAR+CHENIND+CICHIND+CIRSHET+CLADMAR+CLINVUL+CONVIND+CRUCIND+CYPEIND+ELEOPAL+ELEPAUN+EQUIFLU+ERIOANG+EUPACAN+EUPHAMY+EUPHIND+EUPHPAL+FESTPRA+FESTRUB+FILIULM+FILIVUL+FIMBSPE+FOMEFOM+FRAGVES+GALIBOR+GALIMOL+GALIPAL+GALIRIV+GALISAX+GALIVER+GLAUMAR+GLYCFLU+GLYCPLI+GRAMIND+HEDEHEL+HUMULUP+HYPEHIR+HYPEPUL+IRISPSE+ISOLSET+JUNCONA+JUNICOM+JUNIPHO+KOENSPE+LATHPRA+LEGUINS+LEMNSPE+LILIIND+LINUCAT+LINUTEN+LITHOPU+LOTUPED+LUZCAMU+LUZUCAM+LUZULUZ+LUZUMUL+LYCHFLC+LYCOEUR+LYTHSAL+MELAPRA+MELIUNI+MENTAQU+MENYTRI+MOEHTRI+MOLICAA+MOLICAE+MONOIND+MYOSSCO+NAJAMAR+NAJFLEX+NUPHLUT+NUPHPUM+NYMPALB+OENAAQU+OENAFIS+ORIGVUL+OXALACE+PANIIND+PEDISYL+PHLEARE+PHLEPHL+PHLEPRA+PHRAAUS+PHRACOM+PIMMASA+PLANMAR+POACIND+POANEMO+POAPRAT+POLTMUL+POLYCYP+POLYDUM+POLYIND+POLYMIN+POLYMIT+PORTIND+POTANAT+POTAPUS+POTASPE+POTEARE+POTEERE+POTEPAL+PUCCMAR+RANFLRE+RANUAQU+RANUFIC+RANUFLA+RANUIND+RANULIN+RHYTSPE+RUBIIND+RUMEACT+RUMESAN+RUPPMAR+SAGISAG+SALCEUR+SANGOFF+SCHOLAC+SCHOMUC+SCHONIG+SCIMALA+SCIRLAC+SCIRMAR+SCIRSCH+SCIRSPE+SCIRSYL+SCIRTAB+SCRNOUM+SCROIND+SILEDIO+SILENUT+SIUMLAT+SOLADUL+SOLAIND+SPAEMNA+SPARERE+SPERMAR+SPERMED+SPHASPE+STAALSY+STACPAL+STACSYL+STELALS+STELGRA+STELPAL+STENEAQ+STIPPEN+SUAEMAR+TECUCHA+TEUCCHA+TEUCHSC+TEUCSCO+THALFLA+THALMIN+TRAPNAT+TRICCES+TRIFIND+TRIGMAR+TYPHANG+TYPHLAT+UMBEIND+UTRIVUL+VEROCHA+VEROOFF+VEROTEU+VERTECH+VICISEP+VIOLALB+VIOLHIR+VIOLHIT+VIOLPAL
2,Potential Weeds (Ambiguous),ADONSPE+AEGISPE+AGROSPE+AGRPSPE+AIRASPE+AJUGSPE+AJUTEUC+ALCHSPE+ALKASPE+ALOPSPE+ALTHMAL+ALTHOFF+ALYSSU+AMARSPE+ANDRSPE+ANTHSPE+APHASPE+APIUGRA+ARCTSPE+ARENSPE+ARNESPE+ARTECAM+ARTESPE+ASPEGAL+ASPESPE+ASTRGCI+ASTRSPE+ATHNISY+ATRISPE+ATROBED+AVENBRO+BOLBSPE+BRASSIN+BRASSPE+BROINRA+BROMSPE+BRYODIO+BUNIBUL+BUPLSPE+CALANEP+CAMASPE+CAMESPE+CAMPGLO+CAMPROT+CAMPSPE+CAMRATR+CANNSP+CAPPSPE+CARDIOV+CARDSPE+CENTSPE+CERASPE+CERASTE+CHENATR+CHENSPE+CIRSCAR+CIRSSPE+CONOMAJ+COROSPE+CREPSPE+CRUCSPE+CRUTLAE+CUSCSPE+CYNOSPE+CYPEFUS+CYPESPE+DACTSPE+DESCCES+DIAARDE+DIANSPE+DIGISPE+DRACSPE+ECHISPE+ELEOSPE+EPILSPE+EQUISPE+ERIGACR+ERODSPE+EUPHSPE+FESTLOL+FESTSPE+FRAGPOT+FRAGSPE+FUMASPE+GALEOFF+GALESPE+GALESTA+GALISPE+GALVERO+GAUDSPE+GENTSPE+GERALUC+GEUMSPE+GIPSOSP+GLYCSPE+HEDESPE+HELISPE+HIERSPE+HIPPSPE+HYOSSPE+HYPESPE+JUNCSPE+JUNCSQU+LAMISPE+LEPISPE+LOLISPE+LUZUSPE+LYCHSPE+MALVSPE+MATRSPE+MEDISPE+MELASPE+MELISPE+MELITRI+MENAQAR+MENTORI+MENTSPE+MENYSPE+MOEHSPE+MOLISIE+MONTSPE+MYOSSPE+NEPESPE+NUPHSPE+NYMPSPE+ONOBSPE+ONOPSPE+PAPASPE+PEDISPE+PHALSPE+PHLEPOA+PHLESPE+PHRASPE+PHYSALK+PLALAMA+PLANSPE+POAAGRO+POAPRTR+POASPEC+POLGSPE+POLTSPE+POLYRUM+POLYSPE+POTERRE+POTESPE+PTERSPE+PUCCSPE+RANUSPE+RESESPE+RHINSPE+RORISPE+RUBITIN+RUMACSA+RUMCOSA+RUMEPOL+RUMESPE+SALCSPE+SALSOLA+SALVSPE+SAPOSPE+SCHOSPE+SCIRSCH+SCIRSPE+SCLESPE+SCROSPE+SCROVER+SENESPE+SETAPAN+SETASPE+SIEGSPE+SILESPE+SILNUVU+SILVUDI+SINASPE+SISYSPE+SOLAPHY+SOLASPE+SOLDUNI+SONCSPE+SPARSPE+SPERSPE+STAARSY+STACSPE+STEAQME+STELSPE+STEMENE+STIPSPE+TAENSPE+TECUSPE+TEUCSPE+TORISPE+TRANSPE+TRIFLOT+TRIFMED+TRIFSPE+TRIGAST+TYPHSPE+URTISPE+VALESPE+VERBSPE+VERESPE+VEROSPE+VICILAT+VICISPE+VIOLSPE
3,Classic Weeds (Apophytes and Archaeophytes),ABUTTEO+ACHIMIL+ACINARV+ADONAES+ADONANN+ADONFLA+AEGISPL+AETHCYN+AGRIEUP+AGROGIT+AGROREP+AGROSTO+AJUGCHA+AJUGGEN+ALLAPET+AMARGRA+AMMIMAJ+ANAGARV+ANCHARV+ANCHOFF+ANETGRA+ANTHARV+ANTHTIN+ANTXODO+APHAARV+APHAMIC+ARCTLAP+ARCTMIN+ARENSER+ARRHELA+ARTEVUL+ASPEARV+ATRILIT+ATRIPAT+ATRLIHA+ATRPAHA+ATRPAPR+AVEFAST+AVENFAT+AVENSTE+BARBVUL+BISEPEL+BLITBON+BLITVIR+BRASRAP+BROARHO+BROMARV+BROMERE+BROMHOR+BROMOAR+BROMSEC+BROMSTE+BROMTEC+BRORAAR+BROSEAR+BROSEHO+BROSEMO+BROSTAR+BROSTTE+BROTEER+BUGLARV+BUNIORI+BUPLROT+CALEIRR+CALYSEP+CAMESAT+CAMPRAP+CAMSAMI+CAPSBUP+CARDCRI+CARDMAR+CARMHIR+CARTLAN+CARUCAR+CENTCYA+CENTJAC+CERAFON+CERAHOL+CHAETEM+CHEGLRU+CHENALB+CHENBOT+CHENFIC+CHENGLA+CHENHYB+CHENMUR+CHENPOL+CHENRUB+CHENURB+CHRYLEU+CIRSARV+CIRSVUL+CONIMAC+CONVARV+COROSCO+COROVAR+DASYVIL+DESCSOP+DIGIISC+DIGISSA+DIPSFUL+ECHICRG+ECHICRU+ELYTREP+EPILAGU+ERODCIT+ERUSNAS+ERYSCHE+EUPHEXI+EUPHHEL+EUPHPEP+FALLCON+FUMAOFF+FUMASCH+GALAPSP+GALAPTR+GALEBIF+GALELAD+GALESEG+GALETET+GALIAPA+GALISPU+GALITRI+GALLAAN+GALLASE+GALTEBI+GALTESP+GLECHED+HELIEUR+HORDLAG+HORDMAR+HORDMUR+HORDSPO+HYOSNIG+HYPEPER+HYPOCHO+KNAUARV+LACTSER+LALLIBE+LAMIALB+LAMIAMP+LAPSCOM+LATHHIR+LATHNIS+LATHTUB+LEONAUT+LITHARV+LITHOFF+LOLIPER+LOLIREM+LOLITEM+LOLRIPE+MALVNEG+MALVSYL+MATRCHA+MEDILUP+MEDIMIN+MELIAFA+MELIALB+MELIALT+MENTARV+MERCANN+MINUHYB+MONTFON+MYONAQU+MYOSARV+NARDSTR+NEPECAT+NESLIPA+ODONEUP+ONOPACA+PAPAARG+PAPADUB+PAPARHO+PAPDURH+PASTSAT+PETRCRI+PETRPRO+PICRHIE+PLANLAN+PLANMAJ+PLANMED+POAANNU+POATRIV+POLAVCO+POLCARV+POLLAMI+POLLAPE+POLYARE+POLYAVI+POLYCON+POLYHYD+POLYLAP+POLYPER+PORTOLE+POTEANS+POTEARG+POTEREP+PRULVUL+PTERAQU+PUCCDIS+RANREAC+RANUACR+RANUARB+RANUARV+RANUREP+RANUSCE+RAPHRAN+RAPIRUG+RESELUT+RESEPHY+RHINMIN+RUMCONF+RUMCROB+RUMEACE+RUMECON+RUMECRI+RUMEOBT+RUMETHY+RUMLOOB+SAMBEBU+SANGMIN+SAPOOFF+SCANPEC+SCLEANN+SENEVUL+SETAECH+SETAGLA+SETAPUM+SETAVER+SETAVIR+SETVIVE+SHERARV+SIEGDEC+SILEALB+SILECRE+SILEDIO+SILEGAL+SILENOC+SILEVUL+SINAALB+SINAARV+SINADIS+SISYOFF+SOLANIG+SONCARV+SONCASP+SONCOLE+SPERARV+STACANN+STACARV+STELMED+STENEME+TARAOFF+THLAARV+THYMPAS+TORIJAP+TRIFARV+TRIFCAM+TRIFDUB+TRIFPRA+TRIFREP+TRIHYRE+TRIPMAR+URTIDIO+URTIURE+VACCPYR+VALEDEN+VALELOC+VALERIM+VENTMAC+VERBHED+VERBOFF+VEROARV+VEROHED+VEROPER+VEROSER+VICICRA+VICIHIR+VICILAY+VICITET+VICTEHI+VIOARTR+VIOLTRI+XANTSTR
