,IIA - Main groups of  domesticated plants
,"Simon, I suggest for domesticated plants we need to organize three groups: Group IIA (big groups - to understand the overall economic balance of cereals, legumes, and others), Group IIB (large economically important groups), and Group IIC (more narrow subgroups, but this can be very important for some types of analysis of cereals-pulses sets - for example, only hull-less types of wheat and barley, and how different legumes are spread. Such specific sets of crops are can be related to certain cultures). That is, these are three levels of aggregation, they are marked in red in the table.",,,
1,Cereals,AVENSAT+AVENNUD+SECACER+SECASPE+PANIMIL+PANISPE+SETAITA+HORDSRT+HORSHUL+HORSHUS+HORDDIN+HORSNAK+HORSNAS+HORDDIS+HORDHEX+HORSHUN+TRIACO+TRIAEST+TRITCOM+TRITDUR+TRITFTW+TRITWH+TRIAETU+TRIANPA+TRITDUT+TRITPAR+TRIFTWT+TRITSPH+TRITDIC+TRITDIO+TRITMON+TRITMOT+TRITMOD+TRITNGW+TRITTIM+TRITGLW+TRDINGW+TRIDISP+TRIDITI+TRIMODI+TRMODIS+TRMODIT+TRITMGW+TRTMOTI+TRITSPL+TRIAHSP+TRITFGW+TRITSPE+TRDIDUA+TRITHOR+TRITSEC+AVENHOR+CERINDO
2,Pulses,CICEARI+LATHSAT+LEGUINL+LENSCUL+LENSSPE+LENSVIC+PISUSAA+PISUSAT+PISUSPE+VICIERV+VICIFAB+VICISAT+VICSYFA
3,Other domestic plant,CUCUMEL+PRUNDOM+PYRUCOM+MALUPUM+VITIVIN+CAMESAT+LINUSIC+LINUUSI+PAPASOM+OLEAEV+CANNSAT+LINUSIC+LINUUSI

