,,IVb - Environmental taxa vs Weed taxa
,According Ellenberg indicator values,
1,Wild agricultural markers (pasture and/or arable weeds),ABUTTEO+ACHIMIL+ACINARV+ADONAES+ADONANN+ADONFLA+AEGISPL+AETHCYN+AGRIEUP+AGROGIT+AGROREP+AGROSTO+AJUGCHA+AJUGGEN+AMARGRA+AMMIMAJ+ANAGARV+ANCHARV+ANTHARV+ANTHTIN+ANTXODO+APHAARV+APHAMIC+ARENSER+ARRHELA+ASPEARV+ATRIPAT+ATRPAHA+ATRPAPR+AVEFAST+AVENFAT+AVENSTE+BARBVUL+BISEPEL+BRASRAP+BROARHO+BROMARV+BROMERE+BROMHOR+BROMOAR+BROMSEC+BROMSTE+BROMTEC+BRORAAR+BROSEAR+BROSEHO+BROSEMO+BROSTAR+BROSTTE+BROTEER+BUGLARV+BUPLROT+CALEIRR+CALYSEP+CAMESAT+CAMPRAP+CAMSAMI+CAPSBUP+CARDMAR+CARTLAN+CARUCAR+CENTCYA+CENTJAC+CERAFON+CERAHOL+CHENALB+CHENFIC+CHENPOL+CIRSARV+CONVARV+COROSCO+COROVAR+DASYVIL+DESCSOP+DIGIISC+DIGISSA+ECHICRG+ECHICRU+ELYTREP+ERODCIT+ERYSCHE+EUPHEXI+EUPHHEL+EUPHPEP+FALLCON+FUMAOFF+FUMASCH+GALAPSP+GALAPTR+GALEBIF+GALELAD+GALESEG+GALETET+GALIAPA+GALISPU+GALITRI+GALLAAN+GALLASE+GALTEBI+GALTESP+HELIEUR+HORDLAG+HORDMAR+HORDSPO+HYPEPER+HYPOCHO+KNAUARV+LACTSER+LALLIBE+LAMIAMP+LAPSCOM+LATHHIR+LATHNIS+LATHTUB+LEONAUT+LITHARV+LOLIPER+LOLIREM+LOLITEM+LOLRIPE+MATRCHA+MEDILUP+MEDIMIN+MELIAFA+MELIALB+MELIALT+MENTARV+MERCANN+MINUHYB+MONTFON+MYOSARV+NARDSTR+NESLIPA+ODONEUP+PAPAARG+PAPADUB+PAPARHO+PAPDURH+PASTSAT+PETRPRO+PLANLAN+PLANMED+POATRIV+POLAVCO+POLCARV+POLLAMI+POLLAPE+POLYAVI+POLYCON+POLYLAP+POLYPER+PORTOLE+POTEANS+POTEARG+POTEREP+PRULVUL+PTERAQU+RANREAC+RANUACR+RANUARB+RANUARV+RANUREP+RAPHRAN+RAPIRUG+RESEPHY+RHINMIN+RUMCONF+RUMCROB+RUMEACE+RUMECRI+RUMEOBT+RUMETHY+RUMLOOB+SANGMIN+SCANPEC+SCLEANN+SENEVUL+SETAECH+SETAGLA+SETAPUM+SETAVER+SETAVIR+SETVIVE+SHERARV+SIEGDEC+SILEALB+SILECRE+SILEGAL+SILENOC+SILEVUL+SINAALB+SINAARV+SINADIS+SOLANIG+SONCARV+SONCASP+SONCOLE+SPERARV+STACANN+STACARV+STELMED+STENEME+TARAOFF+THLAARV+THYMPAS+TORIJAP+TRIFARV+TRIFCAM+TRIFDUB+TRIFPRA+TRIFREP+TRIHYRE+URTIURE+VACCPYR+VALEDEN+VALELOC+VALERIM+VENTMAC+VERBHED+VEROARV+VEROHED+VEROPER+VEROSER+VICICRA+VICIHIR+VICILAY+VICITET+VICTEHI+VIOARTR+VIOLTRI
2,Ruderal Weeds (not repeated in Wild agricultural markers),ALLAPET+ANCHOFF+ANETGRA+ARCTLAP+ARCTMIN+ARTEVUL+ATRILIT+ATRLIHA+BLITBON+BLITVIR+BUNIORI+CARDCRI+CARMHIR+CHAETEM+CHEGLRU+CHENBOT+CHENGLA+CHENHYB+CHENMUR+CHENRUB+CHENURB+CONIMAC+DIPSFUL+EPILAGU+ERUSNAS+GLECHED+HORDMUR+HYOSNIG+LAMIALB+LITHOFF+MALVNEG+MALVSYL+MYONAQU+NEPECAT+ONOPACA+PETRCRI+PICRHIE+PLANMAJ+POAANNU+POLYARE+POLYHYD+PUCCDIS+RANUSCE+RESELUT+RUMECON+SAMBEBU+SAPOOFF+SILEDIO+SISYOFF+TORIJAP+TRIPMAR+URTIDIO+VERBOFF+XANTSTR
,,
