,,IVa - All Wild plants
,"Main groups (Trees/shrubs+shrubs, dwarf shrubs, Herbs)  can be connected to similar pollen grouping",
1,Treees and Shrubs,ABIEALB+ABIESPE+ABIETAX+ACERCAM+ACERPLA+ACERPSE+ACERSPE+ALNUGLU+ALNUSPE+ARBCONI+ARBDECI+ARBDECO+ARBUUNE+BETPEPU+BETUALB+BETUPEN+BETUSPE+CARPBET+CARPOST+CARPSPE+CELTAST+CELTCAU+CELTGRA+CORNSAN+CORNSPE+CORYAVE+CORYSPE+CRATSPE+CUPRSPE+EUONEUR+EUONSPE+FAGUSPE+FAGUSYL+FRAXELC+FRAXSPE+ILEXAQU+ILEXSPE+JUNCONA+JUNICOM+JUNIPHO+JUNISPE+LABIIND+LAMIIND+LARISPE+LONIXYL+MALUSOR+MALUSYL+MALVIND+MONODIC+OSTRCAR+PHILSPE+PICEABI+PICESPE+PINAIND+PINUCEM+PINUMUG+PINUNIG+PINUSPE+PINUSYL+PISTLEN+PISTSPE+PISTTER+POPUSPE+PRUAVPA+PRUNAVI+PRUNAVM+PRUNMAH+PRUNPAD+PRUNSPE+PRUNSPI+QUERILE+QUEROPE+QUERPET+QUERPUB+QUERROB+QUERSPE+RHUMCAT+RHUNSPE+ROSACAN+ROSAIND+ROSASPE+SALIFRA+SALIIND+SALISPE+SALPOP+SAMBNIG+SAMBRAC+SAMBSPE+SAMEBRA+SAMNIRA+SORBARI+SORBAUC+SORBINT+SORBSPE+SORBTOR+TAXUBAC+TAXUSPE+TILICOR+TILIPLA+TILISPE+ULMUGRA+ULMUSPE+VIBULAN+VIBUOPU+VIBUSPE+VITEAGN+VITISPE
2,Dwarf shrubs,ARCOUVU+CALLSPE+CALLVUL+EMPENIG+EMPESPE+ERICCAL+ERICCIN+ERICIND+ERICSPE+ERICTET+LABIIND+LAMIIND+RUBIDCA+RUBUCAE+RUBUFRU+RUBUIDA+RUBUSPE+SATUTHY+SILEACA+THYMHIR+THYMPUL+THYMSPE+THYSSER+THYSSPE+VACCVII+VACMYVI+VACNMYR+VACNSPE+VISCALB
3,Herbs,ABUTTEO+ACHIMIL+ACINARV+ACTASPI+ADONAES+ADONANN+ADONFLA+ADONSPE+AEGISPE+AEGISPL+AETHCYN+AGRIEUP+AGROGIT+AGROREP+AGROSPE+AGROSTO+AGRPSPE+AIRASPE+AJUGCHA+AJUGGEN+AJUGREP+AJUGSPE+AJUTEUC+ALCHSPE+ALIPLAQ+ALISSPE+ALKASPE+ALLAOFF+ALLIURS+ALOPSPE+ALTHMAL+ALTHOFF+ALYSSU+AMARGRA+AMARIND+AMARSPE+AMMIMAJ+AMMOARE+ANAGARV+ANCHARV+ANCHOFF+ANDRSPE+ANETGRA+ANTHARV+ANTHSPE+ANTHTIN+ANTXODO+APHAARV+APHAMIC+APHASPE+APIUGRA+APIUINU+APIUNOD+AQUIVUL+ARCTLAP+ARCTMIN+ARCTSPE+ARENSER+ARENSPE+ARNESPE+ARRHELA+ARTECAM+ARTESPE+ARTEVUL+ARUNDIO+ARUNSPE+ASAREUR+ASPEARV+ASPEGAL+ASPESPE+ASTEIND+ASTETRI+ASTRGCI+ASTRGLY+ASTRSPE+ATHNISY+ATRILIT+ATRIPAT+ATRISPE+ATRLIHA+ATROBED+ATRPAHA+ATRPAPR+AVEFAST+AVENBRO+AVENFAT+AVENSTE+BARBVUL+BERUERE+BISEPEL+BLITBON+BLITVIR+BOLBSPE+BORAIND+BRACSYL+BRASRAP+BRASSIN+BRASSPE+BRIZMED+BROARHO+BROINRA+BROMARV+BROMERE+BROMHOR+BROMOAR+BROMSEC+BROMSPE+BROMSTE+BROMTEC+BRORAAR+BROSEAR+BROSEHO+BROSEMO+BROSTAR+BROSTTE+BROTEER+BRYODIO+BUGLARV+BUNIBUL+BUNIORI+BUPLROT+BUPLSPE+CAKIMAR+CALANEP+CALASYL+CALEIRR+CALTPAL+CALYSEP+CAMASPE+CAMESAT+CAMESPE+CAMPGLO+CAMPRAP+CAMPROT+CAMPSPE+CAMPTRA+CAMRATR+CAMSAMI+CANNSP+CAPPSPE+CAPSBUP+CARACEL+CARDCRI+CARDIOV+CARDMAR+CARDSPE+CAREACU+CAREAPP+CAREDIS+CAREFLA+CAREFLV+CAREHIR+CAREHOS+CARELAS+CAREMUR+CARENIG+CAREOBT+CAREPAN+CARERIP+CAREROS+CARESCI+CARESPE+CARESYL+CARMHIR+CARTLAN+CARUCAR+CARYIND+CARYPOR+CENTCYA+CENTJAC+CENTSPE+CERACER+CERAFON+CERAHOL+CERASPE+CERASTE+CERTDEM+CERTSUB+CHAETEM+CHEGLRU+CHENALB+CHENATR+CHENBOT+CHENCAR+CHENFIC+CHENGLA+CHENHYB+CHENIND+CHENMUR+CHENPOL+CHENRUB+CHENSPE+CHENURB+CHRYLEU+CICHIND+CIRSARV+CIRSCAR+CIRSHET+CIRSSPE+CIRSVUL+CLADMAR+CLINVUL+CONIMAC+CONOMAJ+CONVARV+CONVIND+COROSCO+COROSPE+COROVAR+CREPSPE+CRUCIND+CRUCSPE+CRUTLAE+CUSCSPE+CYNOSPE+CYPEFUS+CYPEIND+CYPESPE+DACTSPE+DASYVIL+DESCCES+DESCSOP+DIAARDE+DIANSPE+DIGIISC+DIGISPE+DIGISSA+DIPSFUL+DRACSPE+ECHICRG+ECHICRU+ECHISPE+ELEOPAL+ELEOSPE+ELEPAUN+ELYTREP+EPILAGU+EPILPAL+EPILSPE+EQUIFLU+EQUISPE+ERIGACR+ERIOANG+ERODCIT+ERODSPE+ERUSNAS+ERYSCHE+EUPACAN+EUPHAMY+EUPHEXI+EUPHHEL+EUPHIND+EUPHPAL+EUPHPEP+EUPHSPE+FALLCON+FESTLOL+FESTPRA+FESTRUB+FESTSPE+FILIULM+FILIVUL+FIMBSPE+FOMEFOM+FRAGPOT+FRAGSPE+FRAGVES+FUMAOFF+FUMASCH+FUMASPE+GALAPSP+GALAPTR+GALEBIF+GALELAD+GALEOFF+GALESEG+GALESPE+GALESTA+GALETET+GALIAPA+GALIBOR+GALIMOL+GALIPAL+GALIRIV+GALISAX+GALISPE+GALISPU+GALITRI+GALIVER+GALLAAN+GALLASE+GALMOVE+GALTEBI+GALTESP+GALVERO+GAUDSPE+GENTSPE+GERALUC+GEUMSPE+GIPSOSP+GLAUMAR+GLECHED+GLYCFLU+GLYCPLI+GLYCSPE+GRAMIND+HEDEHEL+HEDESPE+HELIEUR+HELISPE+HIERSPE+HIPPSPE+HORDLAG+HORDMAR+HORDMUR+HORDSPO+HUMULUP+HYOSNIG+HYOSSPE+HYPEHIR+HYPEPER+HYPEPUL+HYPESPE+HYPOCHO+IRISPSE+ISOLSET+JUNCONA+JUNCSPE+JUNCSQU+JUNICOM+JUNIPHO+KNAUARV+KOENSPE+LACTSER+LALLIBE+LAMIALB+LAMIAMP+LAMISPE+LAPSCOM+LATHHIR+LATHNIS+LATHPRA+LATHTUB+LEGUINS+LEMNSPE+LEONAUT+LEPISPE+LILIIND+LINUCAT+LINUTEN+LITHARV+LITHOFF+LITHOPU+LOLIPER+LOLIREM+LOLISPE+LOLITEM+LOLRIPE+LOTUPED+LUZCAMU+LUZUCAM+LUZULUZ+LUZUMUL+LUZUSPE+LYCHFLC+LYCHSPE+LYCOEUR+LYTHSAL+MALVNEG+MALVSPE+MALVSYL+MATRCHA+MATRSPE+MEDILUP+MEDIMIN+MEDISPE+MELAPRA+MELASPE+MELIAFA+MELIALB+MELIALT+MELISPE+MELITRI+MELIUNI+MENAQAR+MENTAQU+MENTARV+MENTORI+MENTSPE+MENYSPE+MENYTRI+MERCANN+MINUHYB+MOEHSPE+MOEHTRI+MOLICAA+MOLICAE+MOLISIE+MONOIND+MONTFON+MONTSPE+MYONAQU+MYOSARV+MYOSSCO+MYOSSPE+NAJAMAR+NAJFLEX+NARDSTR+NEPECAT+NEPESPE+NESLIPA+NUPHLUT+NUPHPUM+NUPHSPE+NYMPALB+NYMPSPE+ODONEUP+OENAAQU+OENAFIS+ONOBSPE+ONOPACA+ONOPSPE+ORIGVUL+OXALACE+PANIIND+PAPAARG+PAPADUB+PAPARHO+PAPASPE+PAPDURH+PASTSAT+PEDISPE+PEDISYL+PETRCRI+PETRPRO+PHALSPE+PHLEARE+PHLEPHL+PHLEPOA+PHLEPRA+PHLESPE+PHRAAUS+PHRACOM+PHRASPE+PHYSALK+PICRHIE+PIMMASA+PLALAMA+PLANLAN+PLANMAJ+PLANMAR+PLANMED+PLANSPE+POAAGRO+POAANNU+POACIND+POANEMO+POAPRAT+POAPRTR+POASPEC+POATRIV+POLAVCO+POLCARV+POLGSPE+POLLAMI+POLLAPE+POLTMUL+POLTSPE+POLYAMP+POLYARE+POLYAVI+POLYCON+POLYCYP+POLYDUM+POLYHYD+POLYIND+POLYLAP+POLYMIN+POLYMIT+POLYPER+POLYRUM+POLYSPE+PORTIND+PORTOLE+POTANAT+POTAPUS+POTASPE+POTEANS+POTEARE+POTEARG+POTEERE+POTEPAL+POTEREP+POTERRE+POTESPE+PRULVUL+PTERAQU+PTERSPE+PUCCDIS+PUCCMAR+PUCCSPE+RANFLRE+RANREAC+RANUACR+RANUAQU+RANUARB+RANUARV+RANUFIC+RANUFLA+RANUIND+RANULIN+RANUREP+RANUSCE+RANUSPE+RAPHRAN+RAPIRUG+RESELUT+RESEPHY+RESESPE+RHINMIN+RHINSPE+RHYTSPE+RORISPE+RUBIIND+RUBITIN+RUMACSA+RUMCONF+RUMCOSA+RUMCROB+RUMEACE+RUMEACT+RUMECN+RUMECRI+RUMEOBT+RUMEPOL+RUMESAN+RUMESPE+RUMETHY+RUMLOOB+RUPPMAR+SAGISAG+SALCEUR+SALCSPE+SALSOLA+SALVSPE+SAMBEBU+SANGMIN+SANGOFF+SAPOOFF+SAPOSPE+SCANPEC+SCHOLAC+SCHOMUC+SCHONIG+SCHOSPE+SCIMALA+SCIRLAC+SCIRMAR+SCIRSCH+SCIRSPE+SCIRSYL+SCIRTAB+SCLEANN+SCLESPE+SCRNOUM+SCROIND+SCROSPE+SCROVER+SENESPE+SENEVUL+SETAECH+SETAGLA+SETAPAN+SETAPUM+SETASPE+SETAVER+SETAVIR+SETVIVE+SHERARV+SIEGDEC+SIEGSPE+SILEALB+SILECRE+SILEDIO+SILEGAL+SILENOC+SILENUT+SILESPE+SILEVUL+SILNUVU+SILVUDI+SINAALB+SINAARV+SINADIS+SINASPE+SISYOFF+SISYSPE+SIUMLAT+SOLADUL+SOLAIND+SOLANIG+SOLAPHY+SOLASPE+SOLDUNI+SONCARV+SONCASP+SONCOLE+SONCSPE+SPAEMNA+SPARERE+SPARSPE+SPERARV+SPERMAR+SPERMED+SPERSPE+SPHASPE+STAALSY+STAARSY+STACANN+STACARV+STACPAL+STACSPE+STACSYL+STEAQME+STELALS+STELGRA+STELMED+STELPAL+STELSPE+STEMENE+STENEAQ+STENEME+STIPPEN+STIPSPE+SUAEMAR+TAENSPE+TARAOFF+TECUCHA+TECUSPE+TEUCCHA+TEUCHSC+TEUCSCO+TEUCSPE+THALFLA+THALMIN+THLAARV+THYMPAS+TORIJAP+TORISPE+TRANSPE+TRAPNAT+TRICCES+TRIFARV+TRIFCAM+TRIFDUB+TRIFIND+TRIFLOT+TRIFMED+TRIFPRA+TRIFREP+TRIFSPE+TRIGAST+TRIGMAR+TRIHYRE+TRIPMAR+TYPHANG+TYPHLAT+TYPHSPE+UMBEIND+URTIDIO+URTISPE+URTIURE+UTRIVUL+VACCPYR+VACCSPE+VALEDEN+VALELOC+VALERIM+VALESPE+VENTMAC+VERBHED+VERBOFF+VERBSPE+VERESPE+VEROARV+VEROCHA+VEROHED+VEROOFF+VEROPER+VEROSER+VEROSPE+VEROTEU+VERTECH+VICICRA+VICIHIR+VICILAT+VICILAY+VICISEP+VICISPE+VICITET+VICTEHI+VIOARTR+VIOLALB+VIOLHIR+VIOLHIT+VIOLPAL+VIOLSPE+VIOLTRI+XANTSTR
